Approved symbol	Ensembl gene ID	Previous symbols	Alias symbols
PHACTR2	ENSG00000112419	C6orf56	KIAA0680
PHACTR2-AS1	ENSG00000235740		NR027113, lncIHS
PHACTR2P1	ENSG00000270300
PHACTR3	ENSG00000087495	C20orf101	PPP1R123
PHACTR3-AS1	ENSG00000238194
PHACTR4	ENSG00000204138		FLJ13171, PPP1R124
PHAF1	ENSG00000125149	C16orf6, LIN10, C16orf70	lin-10, FLJ12076, MYTHO
PHAX	ENSG00000164902	RNUXA	FLJ13193
PHB1	ENSG00000167085	PHB	BAP32
PHB1P1	ENSG00000213091	PHBP1
PHB1P2	ENSG00000254512	PHBP2
PHB1P3	ENSG00000228121	PHBP3
PHB1P4	ENSG00000230251	PHBP4
PHB1P5	ENSG00000233523	PHBP5
PHB1P6	ENSG00000276592	PHBP6
PHB1P7	ENSG00000213711	PHBP7
PHB1P8	ENSG00000240471	PHBP8
PHB1P9	ENSG00000230224	PHBP9
PHB1P10	ENSG00000232665	PHBP10
PHB1P11	ENSG00000227621	PHBP11
PHB1P12	ENSG00000230585	PHBP12
PHB1P13	ENSG00000234835	PHBP13
PHB1P14	ENSG00000248913	PHBP14
PHB1P15	ENSG00000262648	PHBP15
PHB1P16	ENSG00000227593	PHBP16
PHB1P17	ENSG00000254407	PHBP17
PHB1P18	ENSG00000257885	PHBP18
PHB1P19	ENSG00000257246	PHBP19
PHB1P20	ENSG00000271072	PHBP20
PHB1P21	ENSG00000260326	PHBP21
PHB2	ENSG00000215021		REA, BCAP37, Bap37, p22
PHB2P1	ENSG00000232728
PHC
PHC1	ENSG00000111752	EDR1	HPH1, RAE28
PHC1P1	ENSG00000179899	PHC1B
PHC2	ENSG00000134686	EDR2	HPH2
PHC2-AS1	ENSG00000233246
PHC3	ENSG00000173889		EDR3, FLJ12967, FLJ12729, HPH3
PHETA1	ENSG00000198324	FAM109A	FLJ32356, SES1, IPIP27A
PHETA2	ENSG00000177096	FAM109B	DKFZp686J07229, SES2, IPIP27B
PHEX	ENSG00000102174	HYP, HPDR	PEX, HPDR1, HYP1, XLH
PHEX-AS1
PHF1	ENSG00000112511		MTF2L2, TDRD19C, PCL1
PHF2	ENSG00000197724		KIAA0662, JHDM1E, CENP-35, KDM7C
PHF2P1			DKFZp686A1627
PHF2P2	ENSG00000226057
PHF3	ENSG00000118482
PHF4		PHF4
PHF5A	ENSG00000100410		MGC1346, SF3b14b, INI, bK223H9.2, Rds3, SAP14b, SF3B7
PHF5AP1	ENSG00000267178	PHF5CP
PHF5AP2		PHF5DP
PHF5AP3	ENSG00000244730	PHF5EP
PHF5AP4	ENSG00000270431	PHF5FP
PHF5AP5	ENSG00000238259	PHF5GP
PHF5AP6		PHF5HP
PHF5AP7	ENSG00000249540
PHF6	ENSG00000156531	BFLS, BORJ	KIAA1823, MGC14797, CENP-31
PHF7	ENSG00000010318		NYD-SP6, HSPC226
PHF8	ENSG00000172943		ZNF422, KIAA1111, JHDM1F, KDM7B
PHF10	ENSG00000130024		FLJ10975, XAP135, BAF45a, SMARCG4
PHF10P1	ENSG00000228986		XAP135P
PHF10P2	ENSG00000231466
PHF11	ENSG00000136147		NY-REN-34, BCAP, IGER
PHF12	ENSG00000109118		PF1, KIAA1523
PHF13	ENSG00000116273		MGC43399
PHF14	ENSG00000106443		KIAA0783
PHF19	ENSG00000119403		DKFZP727G051, PCL3, MTF2L1, TDRD19B
PHF20	ENSG00000025293	C20orf104	dJ1121G12.1, TDRD20A
PHF20L1	ENSG00000129292		CGI-72, FLJ13649, MGC64923, FLJ21615, TDRD20B
PHF21A	ENSG00000135365		BHC80, KIAA1696, BM-006
PHF21B	ENSG00000056487	PHF4	BHC80L, FLJ34161
PHF23	ENSG00000040633		MGC2941, FLJ16355
PHF24	ENSG00000122733	KIAA1045	GINIP
PHGDH	ENSG00000092621		SERA, PGDH, PDG
PHGR1	ENSG00000233041
PHIP	ENSG00000146247	WDR11	ndrp, BRWD2, RepID, DCAF14, FLJ20705
PHK
PHKA1	ENSG00000067177	PHKA
PHKA1-AS1	ENSG00000231944
PHKA1P1	ENSG00000232882
PHKA2	ENSG00000044446	PHK, PYK
PHKA2-AS1	ENSG00000237836
PHKB	ENSG00000102893
PHKBP1	ENSG00000226262
PHKBP2	ENSG00000258467
PHKG1	ENSG00000164776	PHKG
PHKG1P1	ENSG00000226075
PHKG1P2	ENSG00000228645
PHKG1P3	ENSG00000236919	PHKGL	PHKg1ps2
PHKG1P4	ENSG00000229508
PHKG2	ENSG00000156873
PHLDA1	ENSG00000139289		TDAG51, DT1P1B11, PHRIP
PHLDA1-AS1	ENSG00000257453		RP11-290L1.3
PHLDA1-DT	ENSG00000257839
PHLDA2	ENSG00000181649	TSSC3	IPL, BWR1C, HLDA2
PHLDA3	ENSG00000174307		TIH1
PHLDB1	ENSG00000019144		FLJ00141, LL5a, KIAA0638
PHLDB2	ENSG00000144824		LL5beta, FLJ21791, LL5b
PHLDB3	ENSG00000176531		FLJ40193
PHLL1
PHLPP1	ENSG00000081913	PLEKHE1, PHLPP	KIAA0606, SCOP, PPM3A
PHLPP2	ENSG00000040199	PHLPPL	KIAA0931, PPM3B
PHOSPHO1	ENSG00000173868
PHOSPHO2	ENSG00000144362		MGC22679
PHOX2A	ENSG00000165462	ARIX, FEOM2	PMX2A, CFEOM2
PHOX2B	ENSG00000109132	PMX2B	NBPhox
PHOX2B-AS1	ENSG00000250467
PHP		PHP
PHPT1	ENSG00000054148		PHP14, HSPC141, CGI-202, DKFZp564M173, bA216L13.10
PHRF1	ENSG00000070047	RNF221	KIAA1542, PPP1R125
PHS
PHTF
PHTF1	ENSG00000116793	PHTF
PHTF2	ENSG00000006576		DKFZp434D166
PHYH	ENSG00000107537		PAHX, RD, PHYH1
PHYHD1	ENSG00000175287		MGC16638
PHYHIP	ENSG00000168490	DYRK1AP3	KIAA0273, PAHX-AP
PHYHIPL	ENSG00000165443		KIAA1796, Em:AC025038.1
PHYKPL	ENSG00000175309	AGXT2L2	MGC15875
PI
PI3	ENSG00000124102		ESI, SKALP, ELAFIN, WAP3, WFDC14, cementoin
PI4
PI4K2A	ENSG00000155252		PI4KII, DKFZP761G1923, PIK42A
PI4K2B	ENSG00000038210		PI4KIIB, FLJ11105, PIK42B
PI4K2B-DT	ENSG00000304023
PI4KA	ENSG00000241973	PIK4CA	PI4K-ALPHA, pi4K230
PI4KAP1	ENSG00000274602
PI4KAP2	ENSG00000183506
PI4KB	ENSG00000143393	PIK4CB	PI4K-BETA, pi4K92
PI5
PI6
PI7
PI8
PI8L1
PI8L2
PI9
PI10
PI12
PI13
PI14
PI15	ENSG00000137558		P25TI
PI16	ENSG00000164530		MGC45378, dJ90K10.5, MSMBBP, CD364
PIANP	ENSG00000139200	C12orf53	DKFZp547D2210, PANP
PIAS1	ENSG00000033800	DDXBP1	GBP, GU/RH-II, ZMIZ3
PIAS2	ENSG00000078043		PIASX-BETA, miz, PIASX-ALPHA, ZMIZ4, ARIP3
PIAS3	ENSG00000131788		FLJ14651, ZMIZ5
PIAS4	ENSG00000105229		Piasg, PIASY, FLJ12419, ZMIZ6
PIBF1	ENSG00000083535	C13orf24	CEP90, PIBF
PICALM	ENSG00000073921		CALM, CLTH
PICART1	ENSG00000246640
PICK1	ENSG00000100151	PRKCABP	dJ1039K5, MGC15204
PICSAR	ENSG00000275874	C21orf113, NCRNA00162, LINC00162	NLC1-C, PRED74, lnc-NLC1-C
PID1	ENSG00000153823		NYGGF4, FLJ20701
PIDD1	ENSG00000177595	LRDD, PIDD	MGC16925, DKFZp434D229
PIERCE1	ENSG00000160345	C9orf116	MGC29761, RbEST47
PIERCE2	ENSG00000261652	C15orf65	FLJ27352
PIEZO1	ENSG00000103335	FAM38A	KIAA0233
PIEZO1-AS1	ENSG00000182376
PIEZO1P1	ENSG00000233686	C20orf83, FAM38CP	bA164D18.1
PIEZO1P2	ENSG00000237121
PIEZO2	ENSG00000154864	FAM38B2, C18orf30, C18orf58, FAM38B	FLJ23403, FLJ23144, HsT748, HsT771, FLJ34907
PIF1	ENSG00000140451	C15orf20	FLJ22692
PIGA	ENSG00000165195		GPI3, PIG-A
PIGAP1	ENSG00000257803
PIGB	ENSG00000069943		PIG-B, GPI-MT-III
PIGBOS1	ENSG00000225973
PIGC	ENSG00000135845		PIG-C, GPI2
PIGCP1	ENSG00000213713
PIGCP2	ENSG00000229626
PIGF	ENSG00000151665		PIG-F
PIGFP1	ENSG00000253869
PIGFP2	ENSG00000234881
PIGFP3	ENSG00000227592
PIGG	ENSG00000174227		FLJ20265, GPI7, LAS21
PIGH	ENSG00000100564		GPI-H
PIGHP1	ENSG00000259657
PIGK	ENSG00000142892		hGPI8, GPI8, PIG-K
PIGL	ENSG00000108474		PIG-L
PIGM	ENSG00000143315		GPI-MT-I, PIG-M
PIGN	ENSG00000197563		MCD4, PIG-N
PIGO	ENSG00000165282		DKFZp434M222, FLJ00135, PIG-O
PIGO-AS1	ENSG00000234181
PIGP	ENSG00000185808	DSCR5	DCRC, DSRC
PIGPP1
PIGPP2	ENSG00000234204
PIGPP3	ENSG00000228958
PIGPP4	ENSG00000265564
PIGQ	ENSG00000007541		hGPI1, GPI1
PIGQP1	ENSG00000227104
PIGR	ENSG00000162896
PIGS	ENSG00000087111		PIG-S
PIGT	ENSG00000124155		PIG-T
PIGU	ENSG00000101464	CDC91L1	bA346K17.2, GAB1, PIG-U
PIGUP1	ENSG00000224437
PIGV	ENSG00000060642		FLJ20477, PIG-V, GPI-MT-II
PIGW	ENSG00000277161		Gwt1, FLJ37433, PIG-W
PIGX	ENSG00000163964		FLJ20522, PIG-X
PIGY	ENSG00000255072		MGC14156, PIG-Y
PIGY-DT	ENSG00000285122
PIGYP1	ENSG00000240761
PIGZ	ENSG00000119227		FLJ12768, MGC52163, SMP3, hSMP3, PIG-Z, GPI-MT-IV
PIH
PIH1D1	ENSG00000104872	NOP17	FLJ20643, Pih1, MOT48, DNAAF14
PIH1D2	ENSG00000150773		DNAAF15
PIK3AP1	ENSG00000155629		BCAP, FLJ35564
PIK3C1
PIK3C2A	ENSG00000011405		PI3K-C2alpha
PIK3C2B	ENSG00000133056		C2-PI3K, PI3K-C2beta
PIK3C2G	ENSG00000139144
PIK3C3	ENSG00000078142		Vps34, hVps34
PIK3CA	ENSG00000121879		PI3K
PIK3CA-DT	ENSG00000229102
PIK3CB	ENSG00000051382	PIK3C1
PIK3CD	ENSG00000171608		p110D
PIK3CD-AS1	ENSG00000179840	C1orf200
PIK3CD-AS2	ENSG00000231789
PIK3CDP1	ENSG00000231610
PIK3CG	ENSG00000105851
PIK3IP1	ENSG00000100100		HGFL, MGC17330, TrIP
PIK3IP1-DT	ENSG00000228839	PIK3IP1-AS1
PIK3R1	ENSG00000145675		GRB1, p85-ALPHA, p85, p85alpha
PIK3R1OS
PIK3R2	ENSG00000105647		P85B, p85, p85beta, p85-BETA
PIK3R3	ENSG00000117461		p55
PIK3R4	ENSG00000196455		VPS15, p150
PIK3R5	ENSG00000141506		P101-PI3K, p101
PIK3R5-DT	ENSG00000266389
PIK3R6	ENSG00000276231	C17orf38	FLJ34500, HsT41028, p87PIKAP
PIKFYVE	ENSG00000115020	PIP5K3	MGC40423, KIAA0981, PIP5K, p235, ZFYVE29, FAB1
PIL
PILRA	ENSG00000085514		FDF03
PILRB	ENSG00000121716		FDFACT1, FDFACT2
PIM1	ENSG00000137193	PIM
PIM2	ENSG00000102096
PIM3	ENSG00000198355
PIMREG	ENSG00000129195	FAM64A	FLJ10156, FLJ10491, CATS, RCS1
PIMREGP1	ENSG00000226261
PIMREGP2	ENSG00000216425
PIMREGP3	ENSG00000217653
PIMREGP4	ENSG00000248340
PIN1	ENSG00000127445		dod
PIN1-DT	ENSG00000267289
PIN1L2
PIN1P1	ENSG00000229359	PIN1L
PIN3
PIN4	ENSG00000102309		PAR14, PAR17, EPVH
PIN4P1	ENSG00000227973
PINCR	ENSG00000224294		RP3-326I13.1
PINK1	ENSG00000158828	PARK6	BRPK
PINK1-AS	ENSG00000117242	PINK1-AS1	FLJ00387, PINK1AS, naPINK1
PINLYP	ENSG00000234465
PINX1	ENSG00000254093		LPTL, LPTS, FLJ20565, MGC8850, Gno1, Pxr1
PINX1-DT	ENSG00000253695
PIP	ENSG00000159763		GCDFP-15, GCDFP15, GPIP4, SABP, BRST-2
PIP4K2A	ENSG00000150867	PIP5K2A	PIP5KIIA, PIP5KIIalpha
PIP4K2B	ENSG00000276293	PIP5K2B	PIP5KIIB, PIP5KIIbeta
PIP4K2C	ENSG00000166908	PIP5K2C	FLJ22055
PIP4P1	ENSG00000165782	C14orf9, TMEM55B	MGC26684
PIP4P2	ENSG00000155099	TMEM55A	DKFZp762O076
PIP5K1A	ENSG00000143398
PIP5K1B	ENSG00000107242		STM7, MSS4
PIP5K1C	ENSG00000186111		PIP5Kgamma, KIAA0589, LCCS3
PIP5K1L1		PIP5K1L1	bA429H9.1
PIP5K1P1	ENSG00000219294		MGC26597
PIP5K1P2	ENSG00000229435
PIP5KL1	ENSG00000167103		bA203J24.5, MGC46424, PIPKH
PIPOX	ENSG00000179761		LPIPOX
PIPSL	ENSG00000180764	PSMD4P2, PIP5K1L1	PIP5K1A-PSMD4, PIP5K1P3
PIR	ENSG00000087842
PIRAT1	ENSG00000237803	NCRNA00211, LINC00211	PIRAT
PIRC1
PIRC2
PIRC3
PIRC4
PIRC5
PIRC6
PIRC7
PIRC8
PIRC9
PIRC10
PIRC11
PIRC12
PIRC13
PIRC14
PIRC15
PIRC16
PIRC17
PIRC18
PIRC19
PIRC20
PIRC21
PIRC22
PIRC23
PIRC24
PIRC25
PIRC26
PIRC27
PIRC28
PIRC29
PIRC30
PIRC31
PIRC32
PIRC33
PIRC34
PIRC35
PIRC36
PIRC37
PIRC38
PIRC39
PIRC40
PIRC41
PIRC42
PIRC43
PIRC44
PIRC45
PIRC46
PIRC47
PIRC48
PIRC49
PIRC50
PIRC51
PIRC52
PIRC53
PIRC54
PIRC55
PIRC56
PIRC57
PIRC58
PIRC59
PIRC60
PIRC61
PIRC62
PIRC63
PIRC64
PIRC65
PIRC66
PIRC67
PIRC68
PIRC69
PIRC70
PIRC71
PIRC72
PIRC73
PIRC74
PIRC75
PIRC76
PIRC77
PIRC78
PIRC79
PIRC80
PIRC81
PIRC82
PIRC83
PIRC84
PIRC85
PIRC86
PIRC87
PIRC88
PIRC89
PIRC90
PIRC91
PIRC92
PIRC93
PIRC94
PIRC95
PIRC96
PIRC97
PIRC98
PIRC99
PIRC100
PIRC101
PIRC102
PIRC103
PIRC104
PIRC105
PIRC106
PIRC107
PIRC108
PIRC109
PIRC110
PIRC111
PIRC112
PIRC113
PIRC114
PIRT	ENSG00000233670
PISD	ENSG00000241878		dJ858B16.2, PSDC
PISRT1	ENSG00000281473		NCRNA00195
PIT1
PITHD1	ENSG00000057757	C1orf128	HT014, TXNL1CL
PITPNA	ENSG00000174238	PITPN	VIB1A
PITPNA-AS1	ENSG00000236618
PITPNB	ENSG00000180957		VIB1B
PITPNC1	ENSG00000154217		RDGBB1, RDGBB, RDGB-BETA
PITPNM1	ENSG00000110697	PITPNM	DRES9, NIR2, RDGB1, RDGBA1, Rd9, RDGB
PITPNM2	ENSG00000090975		RDGBA2, RDGB2, NIR3
PITPNM2-AS1	ENSG00000251497
PITPNM3	ENSG00000091622	CORD5	NIR1, RDGBA3, ACKR6
PITRM1	ENSG00000107959		MP1, KIAA1104, hMP1, PreP
PITRM1-AS1	ENSG00000237399
PITX1	ENSG00000069011	BFT	PTX1, POTX
PITX1-AS1	ENSG00000224186	C5orf66
PITX2	ENSG00000164093	IRID2, IHG2, RIEG, RIEG1, RGS	IGDS, RS, Brx1, Otlx2, ARP1
PITX3	ENSG00000107859	ASMD
PIWIL1	ENSG00000125207		PIWI, HIWI, CT80.1
PIWIL2	ENSG00000197181		HILI, FLJ10351, Mili, CT80
PIWIL2-DT	ENSG00000254064
PIWIL3	ENSG00000184571		HIWI3
PIWIL4	ENSG00000134627		FLJ36156, HIWI2, Miwi2
PIWIL4-AS1	ENSG00000255929
PJA1	ENSG00000181191		FLJ11830, RNF70, PRAJA1
PJA2	ENSG00000198961	RNF131	KIAA0438, Neurodap1, PRAJA2
PJVK	ENSG00000204311	DFNB59
PKD1	ENSG00000008710		PBP, Pc-1, TRPP1
PKD1-AS1	ENSG00000259933		LUCRC
PKD1L1	ENSG00000158683		PRO19563
PKD1L1-AS1	ENSG00000136275	C7orf69	FLJ21075
PKD1L2	ENSG00000166473		KIAA1879
PKD1L3	ENSG00000277481
PKD1P1	ENSG00000244257
PKD1P2	ENSG00000227827
PKD1P3	ENSG00000183458
PKD1P4	ENSG00000205746
PKD1P5	ENSG00000254681
PKD1P6	ENSG00000250251
PKD2	ENSG00000118762		PKD4, PC2, Pc-2, TRPP2
PKD2L
PKD2L1	ENSG00000107593	PKD2L, PKDL	PCL, TRPP3
PKD2L2	ENSG00000078795		TRPP5
PKD2L2-DT	ENSG00000250159
PKD3
PKDCC	ENSG00000162878		SgK493, Vlk
PKDL
PKDREJ	ENSG00000130943
PKHD1	ENSG00000170927	TIGM1	ARPKD, FCYT, FPC
PKHD1L1	ENSG00000205038
PKIA	ENSG00000171033	PRKACN1
PKIA-AS1	ENSG00000254266
PKIB	ENSG00000135549	PRKACN2
PKIG	ENSG00000168734
PKLR	ENSG00000143627
PKM	ENSG00000067225	PKM2	THBP1, OIP3, PK3
PKMP1	ENSG00000236480
PKMP2	ENSG00000235892
PKMP3	ENSG00000220563
PKMP4	ENSG00000254023
PKMP5	ENSG00000215057
PKMYT1	ENSG00000127564		MYT1, PPP1R126
PKMYT1AR	ENSG00000268266
PKN1	ENSG00000123143	PRKCL1	DBK, PRK1, PKN, MGC46204, PAK1
PKN2	ENSG00000065243	PRKCL2	PRK2, Pak-2, STK7
PKN2-AS1	ENSG00000237505
PKN3	ENSG00000160447		PKNbeta, UTDP4-1
PKNOX1	ENSG00000160199		PREP1
PKNOX2	ENSG00000165495
PKNOX2-AS1	ENSG00000254932		AP001007.1
PKNOX2-DT	ENSG00000254880	PKNOX2-AS1
PKP1	ENSG00000081277		B6P
PKP2	ENSG00000057294
PKP2P1
PKP3	ENSG00000184363
PKP4	ENSG00000144283		p0071
PKP4-AS1	ENSG00000204380
PKP4P1	ENSG00000229670
PLA1A	ENSG00000144837		ps-PLA1
PLA2A
PLA2B
PLA2G1B	ENSG00000170890	PLA2, PPLA2, PLA2A
PLA2G2A	ENSG00000188257	PLA2B, PLA2L
PLA2G2C	ENSG00000187980	UBXN10-AS1
PLA2G2D	ENSG00000117215		sPLA2S
PLA2G2E	ENSG00000188784
PLA2G2F	ENSG00000158786
PLA2G3	ENSG00000100078		GIII-SPLA2
PLA2G4
PLA2G4A	ENSG00000116711	PLA2G4	cPLA2-alpha
PLA2G4B	ENSG00000243708		cPLA2-beta, HsT16992
PLA2G4C	ENSG00000105499		cPLA2-gamma
PLA2G4C-AS1	ENSG00000269420
PLA2G4D	ENSG00000159337		cPLA2delta
PLA2G4E	ENSG00000188089		FLJ45651
PLA2G4E-AS1	ENSG00000246740
PLA2G4F	ENSG00000168907		PLA2G4F/Z
PLA2G5	ENSG00000127472
PLA2G6	ENSG00000184381		iPLA2, PNPLA9, PARK14, iPLA2beta, NBIA2
PLA2G7	ENSG00000146070		PAFAH, LDL-PLA2, Lp-PLA2
PLA2G10	ENSG00000069764		GXPLA2
PLA2G10BP	ENSG00000254609
PLA2G10CP	ENSG00000260908
PLA2G10DP	ENSG00000261419
PLA2G10EP	ENSG00000255037
PLA2G10FP	ENSG00000261181
PLA2G10GP	ENSG00000277770
PLA2G10HP	ENSG00000257506
PLA2G10IP	ENSG00000276484
PLA2G10JP	ENSG00000261203
PLA2G10KP	ENSG00000278528
PLA2G10P1	ENSG00000243378
PLA2G12A	ENSG00000123739	PLA2G12
PLA2G12AP1	ENSG00000224680
PLA2G12AP2	ENSG00000225221
PLA2G12B	ENSG00000138308	PLA2G13
PLA2G15	ENSG00000103066	LYPLA3	LLPL, GXVPLA2
PLA2L
PLA2R1	ENSG00000153246		PLA2G1R, PLA2IR, PLA2-R, CLEC13C
PLAA	ENSG00000137055		PLAP, PLA2P, FLJ11281, FLJ12699, DOA1
PLAAT1	ENSG00000127252	HRASLS	H-REV107, HRASLS1, A-C1, PLA/AT1, PLAAT-1
PLAAT2	ENSG00000133328	HRASLS2	FLJ20556, PLAAT-2
PLAAT3	ENSG00000176485	HRASLS3, PLA2G16	HREV107, H-REV107-1, HREV107-3, MGC118754., AdPLA, PLAAT-3
PLAAT4	ENSG00000133321	RARRES3	TIG3, HRASLS4, PLAAT-4, RIG1
PLAAT5	ENSG00000168004	HRASLS5	HRLP5, iNAT, PLAAT-5
PLAC1	ENSG00000170965		CT92, OOSP2L, OOSP2B
PLAC1-AS1	ENSG00000235813
PLAC4	ENSG00000280109	C21orf115	MGC126664, MGC126666, PRED78
PLAC5
PLAC8	ENSG00000145287		onzin, C15
PLAC8L1	ENSG00000173261
PLAC9	ENSG00000189129
PLAC9P1	ENSG00000214100
PLAG1	ENSG00000181690		ZNF912
PLAGL1	ENSG00000118495		ZAC, LOT1
PLAGL2	ENSG00000126003		ZNF900
PLANH1
PLANH2
PLANH3
PLAT	ENSG00000104368
PLAU	ENSG00000122861		URK, UPA
PLAUR	ENSG00000011422		URKR, UPAR, CD87
PLB1	ENSG00000163803		PLB, FLJ30866
PLBD1	ENSG00000121316		FLJ22662
PLBD1-AS1	ENSG00000256751
PLBD1-AS2	ENSG00000255649
PLBD2	ENSG00000151176		p76
PLC1
PLCB1	ENSG00000182621		KIAA0581, PLC-I, PLC154
PLCB1-IT1	ENSG00000225479
PLCB2	ENSG00000137841		FLJ38135
PLCB2-AS1	ENSG00000259307
PLCB3	ENSG00000149782
PLCB4	ENSG00000101333
PLCD1	ENSG00000187091
PLCD3	ENSG00000161714
PLCD4	ENSG00000115556
PLCE1	ENSG00000138193		KIAA1516, PLCE, NPHS3
PLCE1-AS1	ENSG00000268894
PLCE1-AS2	ENSG00000232913
PLCE1P1	ENSG00000276940
PLCG1	ENSG00000124181	PLC1	PLC148, PLC-II, PLCgamma1, NCKAP3
PLCG1-AS1	ENSG00000226648		TOP1-AS1
PLCG2	ENSG00000197943
PLCH1	ENSG00000114805	PLCL3	KIAA1069, MGC117152, DKFZp434C1372, PLCeta1
PLCH1-AS1	ENSG00000239508
PLCH1-AS2	ENSG00000242925
PLCH2	ENSG00000149527	PLCL4	KIAA0450, PLCeta2, RP3-395M20.1, PLC-eta2
PLCL1	ENSG00000115896	PLCE	PLC-L, PLCL, PRIP, PPP1R127
PLCL2	ENSG00000154822	PLCE2	KIAA1092
PLCL2-AS1	ENSG00000226441
PLCL2UT	ENSG00000303350
PLCXD1	ENSG00000182378		FLJ11323
PLCXD2	ENSG00000240891		FLJ31579
PLCXD2-AS1	ENSG00000240766
PLCXD3	ENSG00000182836
PLCZ1	ENSG00000139151		NYD-SP27, PLCzeta, Czeta
PLD1	ENSG00000075651
PLD2	ENSG00000129219
PLD3	ENSG00000105223		HU-K4
PLD4	ENSG00000166428	C14orf175
PLD5	ENSG00000180287		FLJ40773
PLD5-AS1	ENSG00000272865
PLD5P1	ENSG00000283930
PLD6	ENSG00000179598		Zuc
PLEC	ENSG00000178209	EBS1, PLEC1	PCN, PLTN
PLEK	ENSG00000115956		P47, PLEK1
PLEK2	ENSG00000100558
PLEKHA1	ENSG00000107679		TAPP1
PLEKHA2	ENSG00000169499		TAPP2
PLEKHA3	ENSG00000116095		FAPP1
PLEKHA3P1	ENSG00000269800		PLEKHA3P
PLEKHA4	ENSG00000105559		PEPP1
PLEKHA5	ENSG00000052126		PEPP2, KIAA1686, FLJ10667
PLEKHA6	ENSG00000143850		PEPP3, KIAA0969
PLEKHA7	ENSG00000166689		DKFZp686M22243
PLEKHA8	ENSG00000106086		FAPP2, MGC3358
PLEKHA8P1	ENSG00000134297	PLEKHA9	FLJ14156
PLEKHB1	ENSG00000021300	PHRET1	PHR1, KPL1
PLEKHB2	ENSG00000115762		EVT2, FLJ20783
PLEKHB2P1	ENSG00000267066
PLEKHD1	ENSG00000175985		UPF0639
PLEKHF1	ENSG00000166289		APPD, MGC4090, PHAFIN1, ZFYVE15
PLEKHF2	ENSG00000175895		ZFYVE18, PHAFIN2, FLJ13187
PLEKHG1	ENSG00000120278		KIAA1209, ARHGEF41
PLEKHG2	ENSG00000090924		CLG, FLJ00018, ARHGEF42
PLEKHG3	ENSG00000126822	KIAA0599	ARHGEF43
PLEKHG4	ENSG00000196155	SCA4	DKFZP434I216, ARHGEF44
PLEKHG4B	ENSG00000153404		KIAA1909, ARHGEF48
PLEKHG5	ENSG00000171680		KIAA0720, Syx, GEF720, Tech, ARHGEF45
PLEKHG6	ENSG00000008323		FLJ10665, MYOGEF, ARHGEF46
PLEKHG7	ENSG00000187510	C12orf74	FLJ46688
PLEKHH1	ENSG00000054690		KIAA1200
PLEKHH2	ENSG00000152527		KIAA2028, PLEKHH1L
PLEKHH3	ENSG00000068137		FLJ21019
PLEKHJ1	ENSG00000104886		FLJ10297
PLEKHM1	ENSG00000225190		KIAA0356
PLEKHM1P1	ENSG00000214176	PLEKHM1P	LOC440456
PLEKHM2	ENSG00000116786		KIAA0842
PLEKHM2-AS1	ENSG00000237938
PLEKHM3	ENSG00000178385	PLEKHM1L	DAPR
PLEKHN1	ENSG00000187583		DKFZP434H2010
PLEKHO1	ENSG00000023902		CKIP-1, OC120
PLEKHO2	ENSG00000241839	PLEKHQ1	DKFZp761K2312, PP1628, pp9099
PLEKHS1	ENSG00000148735	C10orf81	FLJ23537, bA211N11.2
PLET1	ENSG00000188771	C11orf34
PLG	ENSG00000122194
PLGLA	ENSG00000240935	PLGP2, PLGLA1
PLGLB1	ENSG00000183281	PLGL	PRP-B
PLGLB2	ENSG00000125551	PLGP1
PLGRKT	ENSG00000107020	C9orf46	MDS030, FLJ14688, AD025, Plg-RKT
PLI
PLIN1	ENSG00000166819	PLIN
PLIN2	ENSG00000147872	ADFP	ADRP
PLIN3	ENSG00000105355	M6PRBP1	TIP47, PP17
PLIN3-AS1	ENSG00000267484
PLIN4	ENSG00000167676	KIAA1881	S3-12
PLIN5	ENSG00000214456		LSDP5, LSDA5, OXPAT, MLDP
PLK1	ENSG00000166851	PLK
PLK2	ENSG00000145632		SNK
PLK3	ENSG00000173846	CNK	FNK, PRK
PLK4	ENSG00000142731	STK18	Sak
PLK5	ENSG00000185988	PLK5P	SgK384ps
PLLP	ENSG00000102934	TM4SF11	PMLP
PLLPP1	ENSG00000237782
PLM
PLML
PLN	ENSG00000198523	PLB	CMD1P
PLOD1	ENSG00000083444	LLH, PLOD	LH1
PLOD2	ENSG00000152952		LH2, TLH
PLOD3	ENSG00000106397		LH3
PLOSL			PLO-SL
PLP
PLP1	ENSG00000123560	SPG2, PLP	GPM6C
PLP2	ENSG00000102007		A4, A4-LSB, MGC126187
PLPB1
PLPBP	ENSG00000147471	PROSC
PLPP1	ENSG00000067113	PPAP2A	PAP-2a, LPP1
PLPP2	ENSG00000141934	PPAP2C	PAP-2c, LPP2
PLPP3	ENSG00000162407	PPAP2B	PAP-2b, LPP3
PLPP4	ENSG00000203805	PPAPDC1, PPAPDC1A	DPPL2
PLPP5	ENSG00000147535	PPAPDC1B	HTPAP, DPPL1
PLPP6	ENSG00000205808	PPAPDC2	FLJ90191, FLJ46512, PDP1
PLPP7	ENSG00000160539	C9orf67, PPAPDC3	MGC12921, FLJ14662, NET39
PLPPR1	ENSG00000148123		PRG-3, MGC26189, FLJ20300, LPPR1
PLPPR2	ENSG00000105520		LPPR2, PRG-4
